# Demo Filter  5
# Wavelenght (um)   Transmission
  1.21400000        0.00
  1.21427965        0.00
  1.21455936        0.00
  1.21483914        0.00
  1.21511898        0.00
  1.21539889        0.00
  1.21567886        0.00
  1.21595889        0.00
  1.21623899        0.00
  1.21651915        0.00
  1.21679938        0.00
  1.21707968        0.00
  1.21736003        0.00
  1.21764046        0.00
  1.21792094        0.00
  1.21820149        0.00
  1.21848211        0.00
  1.21876279        0.00
  1.21904354        1.00
  1.21932435        1.00
  1.21960522        1.00
  1.21988616        1.00
  1.22016716        1.00
  1.22044823        1.00
  1.22072937        1.00
  1.22101056        1.00
  1.22129183        1.00
  1.22157315        1.00
  1.22185455        1.00
  1.22213600        1.00
  1.22241753        1.00
  1.22269911        1.00
  1.22298077        1.00
  1.22326248        1.00
  1.22354427        1.00
  1.22382611        1.00
  1.22410802        1.00
  1.22439000        1.00
  1.22467204        1.00
  1.22495415        1.00
  1.22523632        1.00
  1.22551856        1.00
  1.22580086        1.00
  1.22608322        1.00
  1.22636566        1.00
  1.22664815        1.00
  1.22693071        1.00
  1.22721334        1.00
  1.22749603        1.00
  1.22777879        1.00
  1.22806161        1.00
  1.22834450        1.00
  1.22862745        1.00
  1.22891047        1.00
  1.22919355        1.00
  1.22947670        1.00
  1.22975991        1.00
  1.23004319        1.00
  1.23032654        1.00
  1.23060994        1.00
  1.23089342        1.00
  1.23117696        1.00
  1.23146056        1.00
  1.23174423        1.00
  1.23202797        1.00
  1.23231177        1.00
  1.23259564        1.00
  1.23287957        1.00
  1.23316357        1.00
  1.23344763        1.00
  1.23373176        1.00
  1.23401595        1.00
  1.23430021        1.00
  1.23458453        1.00
  1.23486892        1.00
  1.23515338        1.00
  1.23543790        1.00
  1.23572249        1.00
  1.23600714        1.00
  1.23629186        1.00
  1.23657664        1.00
  1.23686149        1.00
  1.23714640        0.00
  1.23743138        0.00
  1.23771643        0.00
  1.23800154        0.00
  1.23828672        0.00
  1.23857196        0.00
  1.23885727        0.00
  1.23914264        0.00
  1.23942808        0.00
  1.23971359        0.00
  1.23999916        0.00
  1.24028479        0.00
  1.24057050        0.00
  1.24085627        0.00
  1.24114210        0.00
  1.24142800        0.00
  1.24171397        0.00
  1.24200000        0.00
