# Demo Filter 23
# Wavelenght (um)   Transmission
  1.55300000        0.00
  1.55328033        0.00
  1.55356072        0.00
  1.55384115        0.00
  1.55412164        0.00
  1.55440218        0.00
  1.55468276        0.00
  1.55496340        0.00
  1.55524409        0.00
  1.55552483        0.00
  1.55580562        0.00
  1.55608646        0.00
  1.55636735        0.00
  1.55664829        0.00
  1.55692929        0.00
  1.55721033        0.00
  1.55749142        0.00
  1.55777257        0.00
  1.55805376        1.00
  1.55833501        1.00
  1.55861631        1.00
  1.55889766        1.00
  1.55917906        1.00
  1.55946050        1.00
  1.55974201        1.00
  1.56002356        1.00
  1.56030516        1.00
  1.56058681        1.00
  1.56086852        1.00
  1.56115027        1.00
  1.56143207        1.00
  1.56171393        1.00
  1.56199584        1.00
  1.56227780        1.00
  1.56255981        1.00
  1.56284187        1.00
  1.56312398        1.00
  1.56340614        1.00
  1.56368835        1.00
  1.56397061        1.00
  1.56425293        1.00
  1.56453529        1.00
  1.56481771        1.00
  1.56510018        1.00
  1.56538270        1.00
  1.56566527        1.00
  1.56594789        1.00
  1.56623056        1.00
  1.56651328        1.00
  1.56679605        1.00
  1.56707888        1.00
  1.56736175        1.00
  1.56764468        1.00
  1.56792766        1.00
  1.56821069        1.00
  1.56849377        1.00
  1.56877690        1.00
  1.56906008        1.00
  1.56934331        1.00
  1.56962660        1.00
  1.56990993        1.00
  1.57019332        1.00
  1.57047676        1.00
  1.57076025        1.00
  1.57104379        1.00
  1.57132738        1.00
  1.57161102        1.00
  1.57189471        1.00
  1.57217846        1.00
  1.57246225        1.00
  1.57274610        1.00
  1.57303000        1.00
  1.57331395        1.00
  1.57359795        1.00
  1.57388200        1.00
  1.57416611        1.00
  1.57445026        1.00
  1.57473447        1.00
  1.57501873        1.00
  1.57530303        1.00
  1.57558739        1.00
  1.57587181        1.00
  1.57615627        0.00
  1.57644078        0.00
  1.57672535        0.00
  1.57700997        0.00
  1.57729463        0.00
  1.57757935        0.00
  1.57786412        0.00
  1.57814895        0.00
  1.57843382        0.00
  1.57871875        0.00
  1.57900372        0.00
  1.57928875        0.00
  1.57957383        0.00
  1.57985896        0.00
  1.58014414        0.00
  1.58042938        0.00
  1.58071466        0.00
  1.58100000        0.00
