# Wavelength      transmission
#         um          unitless
     1.29856   0.000000000e+00
     1.29869   0.000000000e+00
     1.29882   0.000000000e+00
     1.29895   0.000000000e+00
     1.29908   0.000000000e+00
     1.29921   0.000000000e+00
     1.29934   0.000000000e+00
     1.29947   0.000000000e+00
     1.29960   0.000000000e+00
     1.29973   0.000000000e+00
     1.29986   0.000000000e+00
     1.29999   0.000000000e+00
     1.30012   1.000000000e+00
     1.30025   1.000000000e+00
     1.30038   1.000000000e+00
     1.30051   1.000000000e+00
     1.30064   1.000000000e+00
     1.30077   1.000000000e+00
     1.30090   1.000000000e+00
     1.30103   1.000000000e+00
     1.30116   1.000000000e+00
     1.30129   1.000000000e+00
     1.30142   1.000000000e+00
     1.30155   1.000000000e+00
     1.30168   1.000000000e+00
     1.30181   1.000000000e+00
     1.30194   1.000000000e+00
     1.30207   1.000000000e+00
     1.30220   1.000000000e+00
     1.30233   1.000000000e+00
     1.30246   1.000000000e+00
     1.30259   1.000000000e+00
     1.30272   1.000000000e+00
     1.30285   1.000000000e+00
     1.30298   1.000000000e+00
     1.30311   1.000000000e+00
     1.30324   1.000000000e+00
     1.30337   1.000000000e+00
     1.30350   1.000000000e+00
     1.30363   1.000000000e+00
     1.30376   1.000000000e+00
     1.30390   1.000000000e+00
     1.30403   1.000000000e+00
     1.30416   1.000000000e+00
     1.30429   1.000000000e+00
     1.30442   1.000000000e+00
     1.30455   1.000000000e+00
     1.30468   1.000000000e+00
     1.30481   1.000000000e+00
     1.30494   1.000000000e+00
     1.30507   1.000000000e+00
     1.30520   1.000000000e+00
     1.30533   1.000000000e+00
     1.30546   1.000000000e+00
     1.30559   1.000000000e+00
     1.30572   1.000000000e+00
     1.30585   1.000000000e+00
     1.30598   1.000000000e+00
     1.30611   1.000000000e+00
     1.30624   1.000000000e+00
     1.30638   1.000000000e+00
     1.30651   1.000000000e+00
     1.30664   1.000000000e+00
     1.30677   1.000000000e+00
     1.30690   1.000000000e+00
     1.30703   1.000000000e+00
     1.30716   1.000000000e+00
     1.30729   1.000000000e+00
     1.30742   1.000000000e+00
     1.30755   1.000000000e+00
     1.30768   1.000000000e+00
     1.30781   1.000000000e+00
     1.30794   1.000000000e+00
     1.30807   1.000000000e+00
     1.30821   1.000000000e+00
     1.30834   1.000000000e+00
     1.30847   1.000000000e+00
     1.30860   1.000000000e+00
     1.30873   1.000000000e+00
     1.30886   1.000000000e+00
     1.30899   1.000000000e+00
     1.30912   1.000000000e+00
     1.30925   1.000000000e+00
     1.30938   1.000000000e+00
     1.30951   1.000000000e+00
     1.30965   1.000000000e+00
     1.30978   1.000000000e+00
     1.30991   1.000000000e+00
     1.31004   1.000000000e+00
     1.31017   1.000000000e+00
     1.31030   1.000000000e+00
     1.31043   1.000000000e+00
     1.31056   1.000000000e+00
     1.31069   1.000000000e+00
     1.31082   1.000000000e+00
     1.31096   1.000000000e+00
     1.31109   1.000000000e+00
     1.31122   1.000000000e+00
     1.31135   1.000000000e+00
     1.31148   1.000000000e+00
     1.31161   1.000000000e+00
     1.31174   1.000000000e+00
     1.31187   1.000000000e+00
     1.31200   1.000000000e+00
     1.31214   1.000000000e+00
     1.31227   1.000000000e+00
     1.31240   1.000000000e+00
     1.31253   1.000000000e+00
     1.31266   1.000000000e+00
     1.31279   1.000000000e+00
     1.31292   1.000000000e+00
     1.31305   1.000000000e+00
     1.31319   1.000000000e+00
     1.31332   1.000000000e+00
     1.31345   1.000000000e+00
     1.31358   1.000000000e+00
     1.31371   1.000000000e+00
     1.31384   1.000000000e+00
     1.31397   1.000000000e+00
     1.31411   1.000000000e+00
     1.31424   1.000000000e+00
     1.31437   1.000000000e+00
     1.31450   1.000000000e+00
     1.31463   1.000000000e+00
     1.31476   1.000000000e+00
     1.31489   1.000000000e+00
     1.31503   1.000000000e+00
     1.31516   1.000000000e+00
     1.31529   1.000000000e+00
     1.31542   1.000000000e+00
     1.31555   1.000000000e+00
     1.31568   1.000000000e+00
     1.31581   1.000000000e+00
     1.31595   1.000000000e+00
     1.31608   1.000000000e+00
     1.31621   1.000000000e+00
     1.31634   1.000000000e+00
     1.31647   1.000000000e+00
     1.31660   1.000000000e+00
     1.31674   1.000000000e+00
     1.31687   1.000000000e+00
     1.31700   1.000000000e+00
     1.31713   1.000000000e+00
     1.31726   1.000000000e+00
     1.31739   1.000000000e+00
     1.31753   1.000000000e+00
     1.31766   1.000000000e+00
     1.31779   1.000000000e+00
     1.31792   1.000000000e+00
     1.31805   1.000000000e+00
     1.31819   1.000000000e+00
     1.31832   1.000000000e+00
     1.31845   1.000000000e+00
     1.31858   1.000000000e+00
     1.31871   1.000000000e+00
     1.31884   1.000000000e+00
     1.31898   1.000000000e+00
     1.31911   1.000000000e+00
     1.31924   1.000000000e+00
     1.31937   1.000000000e+00
     1.31950   1.000000000e+00
     1.31964   1.000000000e+00
     1.31977   1.000000000e+00
     1.31990   1.000000000e+00
     1.32003   1.000000000e+00
     1.32016   1.000000000e+00
     1.32030   1.000000000e+00
     1.32043   1.000000000e+00
     1.32056   1.000000000e+00
     1.32069   1.000000000e+00
     1.32082   1.000000000e+00
     1.32096   1.000000000e+00
     1.32109   1.000000000e+00
     1.32122   1.000000000e+00
     1.32135   1.000000000e+00
     1.32149   1.000000000e+00
     1.32162   1.000000000e+00
     1.32175   1.000000000e+00
     1.32188   1.000000000e+00
     1.32201   1.000000000e+00
     1.32215   1.000000000e+00
     1.32228   1.000000000e+00
     1.32241   1.000000000e+00
     1.32254   1.000000000e+00
     1.32267   1.000000000e+00
     1.32281   1.000000000e+00
     1.32294   1.000000000e+00
     1.32307   1.000000000e+00
     1.32320   1.000000000e+00
     1.32334   1.000000000e+00
     1.32347   1.000000000e+00
     1.32360   1.000000000e+00
     1.32373   1.000000000e+00
     1.32387   1.000000000e+00
     1.32400   1.000000000e+00
     1.32413   1.000000000e+00
     1.32426   1.000000000e+00
     1.32440   1.000000000e+00
     1.32453   1.000000000e+00
     1.32466   1.000000000e+00
     1.32479   1.000000000e+00
     1.32493   1.000000000e+00
     1.32506   1.000000000e+00
     1.32519   1.000000000e+00
     1.32532   1.000000000e+00
     1.32546   1.000000000e+00
     1.32559   1.000000000e+00
     1.32572   1.000000000e+00
     1.32585   1.000000000e+00
     1.32599   1.000000000e+00
     1.32612   1.000000000e+00
     1.32625   1.000000000e+00
     1.32638   1.000000000e+00
     1.32652   1.000000000e+00
     1.32665   1.000000000e+00
     1.32678   1.000000000e+00
     1.32691   1.000000000e+00
     1.32705   1.000000000e+00
     1.32718   1.000000000e+00
     1.32731   1.000000000e+00
     1.32745   1.000000000e+00
     1.32758   1.000000000e+00
     1.32771   1.000000000e+00
     1.32784   1.000000000e+00
     1.32798   1.000000000e+00
     1.32811   1.000000000e+00
     1.32824   1.000000000e+00
     1.32837   1.000000000e+00
     1.32851   1.000000000e+00
     1.32864   1.000000000e+00
     1.32877   1.000000000e+00
     1.32891   1.000000000e+00
     1.32904   1.000000000e+00
     1.32917   1.000000000e+00
     1.32930   1.000000000e+00
     1.32944   1.000000000e+00
     1.32957   1.000000000e+00
     1.32970   1.000000000e+00
