# Wavelength      transmission
#         um          unitless
     1.42461   0.000000000e+00
     1.42475   0.000000000e+00
     1.42489   0.000000000e+00
     1.42503   0.000000000e+00
     1.42517   0.000000000e+00
     1.42532   0.000000000e+00
     1.42546   0.000000000e+00
     1.42560   1.000000000e+00
     1.42575   1.000000000e+00
     1.42589   1.000000000e+00
     1.42603   1.000000000e+00
     1.42617   1.000000000e+00
     1.42632   1.000000000e+00
     1.42646   1.000000000e+00
     1.42660   1.000000000e+00
     1.42674   1.000000000e+00
     1.42689   1.000000000e+00
     1.42703   1.000000000e+00
     1.42717   1.000000000e+00
     1.42731   1.000000000e+00
     1.42746   1.000000000e+00
     1.42760   1.000000000e+00
     1.42774   1.000000000e+00
     1.42789   1.000000000e+00
     1.42803   1.000000000e+00
     1.42817   1.000000000e+00
     1.42831   1.000000000e+00
     1.42846   1.000000000e+00
     1.42860   1.000000000e+00
     1.42874   1.000000000e+00
     1.42889   1.000000000e+00
     1.42903   1.000000000e+00
     1.42917   1.000000000e+00
     1.42931   1.000000000e+00
     1.42946   1.000000000e+00
     1.42960   1.000000000e+00
     1.42974   1.000000000e+00
     1.42989   1.000000000e+00
     1.43003   1.000000000e+00
     1.43017   1.000000000e+00
     1.43031   1.000000000e+00
     1.43046   1.000000000e+00
     1.43060   1.000000000e+00
     1.43074   1.000000000e+00
     1.43089   1.000000000e+00
     1.43103   1.000000000e+00
     1.43117   1.000000000e+00
     1.43132   1.000000000e+00
     1.43146   1.000000000e+00
     1.43160   1.000000000e+00
     1.43175   1.000000000e+00
     1.43189   1.000000000e+00
     1.43203   1.000000000e+00
     1.43218   1.000000000e+00
     1.43232   1.000000000e+00
     1.43246   1.000000000e+00
     1.43261   1.000000000e+00
     1.43275   1.000000000e+00
     1.43289   1.000000000e+00
     1.43304   1.000000000e+00
     1.43318   1.000000000e+00
     1.43332   1.000000000e+00
     1.43346   1.000000000e+00
     1.43361   1.000000000e+00
     1.43375   1.000000000e+00
     1.43390   1.000000000e+00
     1.43404   1.000000000e+00
     1.43418   1.000000000e+00
     1.43433   1.000000000e+00
     1.43447   1.000000000e+00
     1.43461   1.000000000e+00
     1.43476   1.000000000e+00
     1.43490   1.000000000e+00
     1.43504   1.000000000e+00
     1.43519   1.000000000e+00
     1.43533   1.000000000e+00
     1.43547   1.000000000e+00
     1.43562   1.000000000e+00
     1.43576   1.000000000e+00
     1.43590   1.000000000e+00
     1.43605   1.000000000e+00
     1.43619   1.000000000e+00
     1.43633   1.000000000e+00
     1.43648   1.000000000e+00
     1.43662   1.000000000e+00
     1.43677   1.000000000e+00
     1.43691   1.000000000e+00
     1.43705   1.000000000e+00
     1.43720   1.000000000e+00
     1.43734   1.000000000e+00
     1.43748   1.000000000e+00
     1.43763   1.000000000e+00
     1.43777   1.000000000e+00
     1.43792   1.000000000e+00
     1.43806   1.000000000e+00
     1.43820   1.000000000e+00
     1.43835   1.000000000e+00
     1.43849   1.000000000e+00
     1.43863   1.000000000e+00
     1.43878   1.000000000e+00
     1.43892   1.000000000e+00
     1.43907   1.000000000e+00
     1.43921   1.000000000e+00
     1.43935   1.000000000e+00
     1.43950   1.000000000e+00
     1.43964   1.000000000e+00
     1.43979   1.000000000e+00
     1.43993   1.000000000e+00
     1.44007   1.000000000e+00
     1.44022   1.000000000e+00
     1.44036   1.000000000e+00
     1.44051   1.000000000e+00
     1.44065   1.000000000e+00
     1.44079   1.000000000e+00
     1.44094   1.000000000e+00
     1.44108   1.000000000e+00
     1.44123   1.000000000e+00
     1.44137   1.000000000e+00
     1.44151   1.000000000e+00
     1.44166   1.000000000e+00
     1.44180   1.000000000e+00
     1.44195   1.000000000e+00
     1.44209   1.000000000e+00
     1.44224   1.000000000e+00
     1.44238   1.000000000e+00
     1.44252   1.000000000e+00
     1.44267   1.000000000e+00
     1.44281   1.000000000e+00
     1.44296   1.000000000e+00
     1.44310   1.000000000e+00
     1.44325   1.000000000e+00
     1.44339   1.000000000e+00
     1.44353   1.000000000e+00
     1.44368   1.000000000e+00
     1.44382   1.000000000e+00
     1.44397   1.000000000e+00
     1.44411   1.000000000e+00
     1.44426   1.000000000e+00
     1.44440   0.000000000e+00
     1.44455   0.000000000e+00
     1.44469   0.000000000e+00
     1.44483   0.000000000e+00
     1.44498   0.000000000e+00
     1.44512   0.000000000e+00
     1.44527   0.000000000e+00
